Compound_id;Compound_common_name;Compound_synonyms;Molecular_weight;Chemical_formula;Smiles;Links;EC;Reaction_equation;Pathway
CPDQT-418;7-(methylsulfanyl)heptyl-desulfoglucosinolate;7-(methylthio)heptyl-desulfoglucosinolate;383.517;C15 H29 N1 O6 S2 ;CSCCCCCCCC(=NO)SC1(OC(CO)C(O)C(O)C(O)1);PUBCHEM:90657713*PUBCHEM:44237186;EC-2.8.2.38;7-(methylsulfanyl)heptyl-desulfoglucosinolate + 3'-phosphoadenylyl-sulfate  ->  adenosine 3',5'-bisphosphate + 7-(methylthio)heptyl-glucosinolate + H+;glucosinolate biosynthesis from pentahomomethionine
CPD-18094;cyanidin 5-O-beta-D-glucoside 3-O-beta-D-sambubioside;cyanidin 3-sambubioside 5-glucoside;742.64;C32 H38 O20 ;C6(C(C5([O+]=C2(C(C(OC1(C(C(C(O)C(O1)CO)O)O))=CC([O-])=C2)=CC(OC4(OC(C(O)C(O)C(OC3(OCC(O)C(O)C(O)3))4)CO))=5)))=CC(O)=C(O)C=6);PUBCHEM:102514908;EC-2.4.1.295;cyanidin 3-O-beta-D-sambubioside + UDP-alpha-D-glucose  ->  cyanidin 5-O-beta-D-glucoside 3-O-beta-D-sambubioside + UDP;anthocyanidin sambubioside biosynthesis
CPD1F-462;kaempferol-3-rhamnoside-7-rhamnoside;kaempferol-3-O-rhamnopyranoside-7-O-rhamnopyranoside;578.526;C27 H30 O14 ;CC5(OC(OC4(C=C2(C(C(=O)C(=C(C1(=CC=C(O)C=C1))O2)OC3(OC(C(C(C3O)O)O)C))=C(C=4)O)))C(C(C5O)O)O);PUBCHEM:12305419;EC-2.4.1;kaempferol-3-rhamnoside + UDP-beta-L-rhamnose  ->  kaempferol-3-rhamnoside-7-rhamnoside + UDP;kaempferol glycoside biosynthesis (Arabidopsis)
CPD-8161;1-18:2-2-16:0-digalactosyldiacylglycerol;18:2-16:0-DGDG;917.225;C49 H88 O15 ;CCCCCC=CCC=CCCCCCCCC(OCC(COC2(OC(COC1(OC(CO)C(O)C(O)C(O)1))C(O)C(O)C(O)2))OC(=O)CCCCCCCCCCCCCCC)=O;PUBCHEM:90658818*PUBCHEM:25245181;EC-1.14.19.35;1-18:2-2-16:0-digalactosyldiacylglycerol + a reduced electron acceptor + oxygen  ->  1-18:3-2-16:0-digalactosyldiacylglycerol + an oxidized electron acceptor + 2 H2O;glycolipid desaturation
CPD-13713;adenosine 5'-phosphoselenate;adenylyl-selenate*APSe*adenosine phosphoselenate*adenylylselenate*adenosine-5'-phosphoselenate;473.174;C10 H13 N5 O10 P1 SE1 ;C(C3(C(C(C(N2(C1(=C(C(=NC=N1)N)N=C2)))O3)O)O))OP(=O)([O-])O[Se](=O)(=O)O;PUBCHEM:122706182*REFMET:Adenylylselenate*PUBCHEM:90657723*HMDB:HMDB04112*CHEBI:2485*PUBCHEM:7993*LIGAND-CPD:C05686;EC-1.8.4.9;selenite + AMP + glutathione disulfide + 3 H+  <-  adenosine 5'-phosphoselenate + 2 glutathione;selenate reduction
CPD-14461;esculin;aesculin*7-hydroxy-6-cumarinyl-glucosid*esculetin glukosid;340.286;C15 H16 O9 ;C(O)C1(OC(C(O)C(O)C(O)1)OC3(=CC2(C=CC(OC=2C=C(O)3)=O)));METABOLIGHTS:MTBLC4853*HMDB:HMDB30820*CHEBI:4853*LIGAND-CPD:C09264*PUBCHEM:5281417;EC-2.4.1;esculin + H2O  <-->  esculetin + D-glucopyranose;superpathway of scopolin and esculin biosynthesis
D-SEDOHEPTULOSE-7-P;D-sedoheptulose 7-phosphate;D-Sedoheptulose-7-P*heptulose 7-phosphate*sedoheptulose-7-P*sedo-heptulose-7-phosphate;288.147;C7 H13 O10 P1 ;C(O)C(C(O)C(C(O)C(COP(=O)([O-])[O-])O)O)=O;REFMET:Sedoheptulose 7-phosphate*BIGG:s7p*METABOLIGHTS:MTBLC57483*HMDB:HMDB01068*BIGG:34485*LIGAND-CPD:C05382*CHEBI:57483*PUBCHEM:46878379*CAS:2646-35-7;EC-2.2.1.2;D-sedoheptulose 7-phosphate[CCI-CHLOR-STR-PL] + D-glyceraldehyde 3-phosphate[CCI-CHLOR-STR-PL]  <-->  beta-D-fructofuranose 6-phosphate[CCI-CHLOR-STR-PL] + D-erythrose 4-phosphate[CCI-CHLOR-STR-PL];pentose phosphate pathway (non-oxidative branch)
CPD-11526;3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(E-buta-2-enoyl)-CoA;OPC4-trans-2-enoyl-CoA;981.797;C35 H50 N7 O18 P3 S1 ;CCC=CCC1(C(CCC(=O)1)CC=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC2(C(OP([O-])(=O)[O-])C(O)C(O2)N4(C3(=C(C(N)=NC=N3)N=C4))))[O-])[O-]);PUBCHEM:126961185*PUBCHEM:44237329;EC-4.2.1.17;3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(3R-hydroxybutanoyl)-CoA  <-  3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(E-buta-2-enoyl)-CoA + H2O;jasmonic acid biosynthesis
CPD-503;3-phenylpropanoyl-CoA;dihydrocinnamoyl-CoA*3-phenylpropionyl-CoA;895.664;C30 H40 N7 O17 P3 S1 ;CC(C)(C(O)C(=O)NCCC(=O)NCCSC(=O)CCC1(C=CC=CC=1))COP(=O)(OP(=O)(OCC2(C(OP([O-])(=O)[O-])C(O)C(O2)N4(C3(=C(C(N)=NC=N3)N=C4))))[O-])[O-];PUBCHEM:25245203*CHEBI:85676*PUBCHEM:90657728;RXN-7611;3-phenylpropanoyl-CoA + 3 malonyl-CoA + 3 H+  ->  4 CO2 + dihydropinosylvin + 4 coenzyme A;pinosylvin metabolism
CPD-10501;peonidin 3-O-glucoside;peonidin 3-glucoside;463.417;C22 H23 O11 ;C(O)C1(OC(C(O)C(O)C(O)1)OC2(C=C4(C(=[O+]C=2C3(=CC(=C(O)C=C3)OC))C=C(O)C=C(O)4)));PUBCHEM:443654;RXN-9793;peonidin 3-O-glucoside  ->  peonidin 3,5-diglucoside;peonidin and derivatives biosynthesis
CPD-16530;(-)-epicatechin-3-O-gallate;epicatechin-3-galloyl ester;442.378;C22 H18 O10 ;C1(C=C(O)C(O)=CC=1C3(OC4(C(CC(OC(=O)C2(C=C(O)C(O)=C(O)C=2))3)=C(O)C=C(O)C=4)));PUBCHEM:107905*CHEBI:70255*CHEBI:76126*METABOLIGHTS:MTBLC70255*HMDB:HMDB37944*CHEMSPIDER:97034*PUBCHEM:65056;EC-2.3.1;1-O-galloyl-beta-D-glucose + (-)-epicatechin  ->  (-)-epicatechin-3-O-gallate + D-glucopyranose;galloylated catechin biosynthesis
CPD-14739;benzyl 6-O-beta-D-apiofuranosyl-beta-D-glucopyranoside;benzyl acuminose;402.397;C18 H26 O10 ;C(OC1(OC(C(O)C(O)C(O)1)COC2(OCC(O)(CO)C(O)2)))C3(C=CC=CC=3);PUBCHEM:14079045;EC-3.2.1.149;benzyl 6-O-beta-D-apiofuranosyl-beta-D-glucopyranoside + H2O  ->  benzyl alcohol + beta-D-apiofuranosyl-(1->6)-D-glucose;tea aroma glycosidic precursor bioactivation
UDP-APIOSE;UDP-D-apiose;;534.263;C14 H20 N2 O16 P2 ;C(OP(=O)([O-])OP(=O)([O-])OC1(OCC(O)(CO)C(O)1))C2(OC(C(O)C(O)2)N3(C=CC(=O)NC(=O)3));PUBCHEM:71581050*HMDB:HMDB12301*CHEBI:73883*PUBCHEM:25245215*LIGAND-CPD:C01623;EC-2.4.2.25;apigenin 7-O-beta-D-glucoside + UDP-D-apiose  ->  apigenin 7-O-[beta-D-apiosyl-(1->2)-beta-D-glucoside] + UDP + H+;apigenin glycosides biosynthesis
CPD-7714;shisonin;;756.67;C36 H36 O18 ;C(C6(OC(OC1(=CC(=CC2([O+]=C(C(=CC1=2)OC3(OC(C(C(C3O)O)O)COC(C=CC4(C=CC(=CC=4)O))=O))C5(=CC(=C(C=C5)O)O)))[O-]))C(C(C6O)O)O))O;PUBCHEM:90657172*LIGAND-CPD:C12096*PUBCHEM:5282068;EC-2.3.1.172;shisonin + malonyl-CoA  ->  malonylshisonin + coenzyme A;superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-O-glucoside)
CPD-16603;cyanidin 3-O-glucoside-7-O-(6-O-(4-O-(glucosyl)-oxybenzoyl)-glucoside);;892.774;C40 H44 O23 ;C(O)C7(C(O)C(O)C(O)C(OC6(C=CC(C(OCC5(C(O)C(O)C(O)C(OC4(=CC([O-])=C3(C=C(OC1(C(O)C(O)C(O)C(CO)O1))C(C2(C=CC(O)=C(O)C=2))=[O+]C3=C4)))O5))=O)=CC=6))O7);PUBCHEM:90657732;EC-2.3.1;cyanidin 3-O-glucoside-7-O-(6-O-(4-O-(glucosyl)-oxybenzoyl)-glucoside) + 1-O-4-hydroxybenzoyl-beta-D-glucose  ->  cyanidin 3-O-glucoside-7-O-(6-O-(4-O-(6-O-(p-hydroxybenzoyl)-glucosyl)-oxybenzoyl)-glucoside) + D-glucopyranose;cyanidin 3,7-diglucoside polyacylation biosynthesis
GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE;GDP-4-dehydro-alpha-D-rhamnose;GDP-4-dehydro-6-deoxy-&alpha;;;;;;;
CPD-15284;"cyanidin 3-O-(6\""-O-malyl-beta-D-glucoside)";;562.44;C25 H22 O15 ;C(OC(CC(O)C([O-])=O)=O)C1(OC(C(O)C(O)C(O)1)OC2(=CC4(=C([O+]=C2C3(C=CC(O)=C(O)C=3))C=C([O-])C=C([O-])4)));PUBCHEM:102515400*PUBCHEM:44256741;EC-2.3.1;"cyanidin-3-O-beta-D-glucoside + cyanidin-3-O-beta-D-glucoside + 1-O-malyl-beta-D-glucose  ->  cyanidin 3-O-(6\""-O-malyl-beta-D-glucoside) + D-glucopyranose";anthocyanidin 3-malylglucoside biosynthesis (acyl-glucose dependent)
CPD-14737;eugenol O-beta-D-xylopyranosyl-(1->6)-O-beta-D-glucopyranoside;eugenyl &beta;;;;;;;
GDP-L-GALACTOSE;GDP-beta-L-galactose;;603.329;C16 H23 N5 O16 P2 ;C(C3(C(C(C(N2(C1(=C(C(NC(=N1)N)=O)N=C2)))O3)O)O))OP(OP(OC4(C(C(C(C(O4)CO)O)O)O))([O-])=O)([O-])=O;CHEBI:61454*PUBCHEM:25200538*LIGAND-CPD:C02280;EC-2.7.7.69;GDP-beta-L-galactose + phosphate  ->  GDP + beta-L-galactose 1-phosphate + H+;L-ascorbate biosynthesis I (L-galactose pathway)
CPD-8254;fagopyritol B2;<i>O</i>-&alpha;;;;;;;
